,ET,Fc,Ecec,Tcec,Pcec,Rcec,status_cec,Erea,Trea,Prea,Rrea,status_rea,Efvs,Tfvs,Pfvs,Rfvs,status_fvs,W_const_ppm,W_const_ratio,W_linear,W_sqrt,W_opt
2018-07-05 10:00,277.98977937942624,-0.9775735902518367,0.0,277.98977937942624,-0.9775735902518367,0.0,OK,0,277.99750153224653,-0.9776007458281099,0,OK,50.615479244397775,227.38202228784877,-0.9796272393738261,0.0020264935457166896,OK,-0.010568230478405823,-0.011935763377982057,-0.009263583024784553,-0.010911423617156532,-0.0018972001461691156
2018-07-05 10:30,265.3585947126307,-0.8025210614012369,0.0,265.3585947126307,-0.8025210614012369,0.0,OK,0,265.3696436561952,-0.8024913237156283,0,OK,10.846001232124335,254.52364242407086,-0.9545107074818844,0.1520193837662566,OK,-0.009199203434123216,-0.01014716798332479,-0.009336241504821449,-0.010077145545692558,-0.014249595037540159
2018-07-05 11:00,277.60201161237325,-0.8296040905191396,0.0,277.60201161237325,-0.8296040905191396,0.0,OK,0,277.6097229935677,-0.8296271357173537,0,OK,,,,,13a not satisfied,-0.008162296158904623,-0.009191286826197811,-0.009254294778729865,-0.00959848104450291,
2018-07-05 11:30,256.0567058687412,-0.681071279647344,0.0,256.0567058687412,-0.681071279647344,0.0,OK,0,256.0638187525954,-0.6810901988195328,0,OK,,,,,13a not satisfied,-0.007330351317101328,-0.00824116842964586,-0.0092549816510749,-0.009101334081846199,
2018-07-05 12:00,365.578085936947,-0.919850668150118,0.0,365.578085936947,-0.919850668150118,0.0,OK,0,365.5882411658684,-0.9198762202673473,0,OK,,,,,13a not satisfied,-0.006847921156102088,-0.007998118336828989,-0.009114548509045228,-0.008970357674851414,
2018-07-05 12:30,329.75283617550895,-0.836890866100753,0.0,329.75283617550895,-0.836890866100753,0.0,OK,0,329.76199623095977,-0.8369141137150228,0,OK,,,,,13a not satisfied,-0.006546057095877754,-0.007784716247375636,-0.009056426917321538,-0.008853718991904767,
2018-07-05 13:00,325.6302363051936,-0.7479775429100943,0.0,325.6302363051936,-0.7479775429100943,0.0,OK,0,325.63928184080027,-0.747998320641223,0,OK,12.438072911617587,313.20120892918266,-0.7524954324231452,0.004497111781921943,OK,-0.00589356376383383,-0.007025456854176673,-0.009043040437260489,-0.008422502007160921,-0.003803108859423776
2018-07-05 13:30,332.16195591486286,-0.6960720930916647,0.0,332.16195591486286,-0.6960720930916647,0.0,OK,0,332.1711828921655,-0.6960914289646913,0,OK,10.001569827793515,322.169613064372,-0.7390776120934304,0.042986183128738364,OK,-0.005627338237212792,-0.006673579731969012,-0.009049917627043595,-0.008211671525933766,-0.008187611894559941
2018-07-05 14:00,304.2188322458684,-0.6331218459868503,0.0,304.2188322458684,-0.6331218459868503,0.0,OK,0,304.2272830037296,-0.6331394331933279,0,OK,14.459280367359067,289.7680026363705,-0.6369364639654534,0.003797030772125453,OK,-0.005391917437026068,-0.006412237929424148,-0.009036324179395875,-0.008052710441709708,-0.0031623307490275866
